apollon	Apóllōn	apollon	greek	Light, Music, Prophecy	Possibly 'destroyer' or 'purifier' (from ἀπόλλυμι)
hades	Hádēs	hades	greek	Underworld, Wealth	The Unseen One (from ἀ- + εἶδον)
hekate	Hekátē	hekate	greek	Magic, Crossroads, Moon	She who works from afar (from ἑκάς)
nike	Níkē	nike	greek	Victory	Victory, conquest
zeus	Zeús	zeus	greek	Sky, Thunder, King of Gods	Bright, day (from Proto-Indo-European *dyēus)
ares	Árēs	ares	greek	War, Courage, Battle Fury	Bane, ruin (possibly from ἀρά)
aphrodite	Aphrodítē	aphrodite	greek	Love, Beauty, Pleasure	Born of sea foam (from ἀφρός)
athena	Athēnâ	athena	greek	Wisdom, War Strategy, Crafts	Unknown; possibly pre-Greek
demeter	Dēmētēr	demeter	greek	Harvest, Agriculture, Fertility	Earth Mother (from Δᾶ + μήτηρ)
hera	Hēra	hera	greek	Marriage, Women, Queen of Gods	Lady, mistress (possibly related to ἥρως)
hermes	Hermês	hermes	greek	Messengers, Commerce, Thieves	Heap of stones, boundary marker
hephaistos	Hēphaistos	hephaistos	greek	Fire, Forge, Craftsmen	Unknown; possibly pre-Greek
hestia	Hestía	hestia	greek	Hearth, Home, Family	Hearth, fireplace
poseidon	Poseidôn	poseidon	greek	Sea, Earthquakes, Horses	Lord of the Earth (from πόσις + δᾶ)
persephone	Persephonē	persephone	greek	Spring, Underworld, Vegetation	She who destroys the light (possibly)
prometheus	Promētheús	prometheus	greek	Forethought, Fire, Craft	Forethinker (from πρό + μῆτις)
gaia	Gaîa	gaia	greek	Earth, Mother of All	Earth (from γαῖα)
chaos	Cháos	chaos	greek	The First Void	Gap, yawning void (from χάος)
tartaros	Tártaros	tartaros	greek	The Primordial Abyss	Deep place (from τάρταρος)
pontos	Póntos	pontos	greek	The Primordial Sea	Sea (from πόντος)
tethys	Tēthys	tethys	greek	Fresh Water, Nursing	Grandmother (from τήθη)
hyperion	Hyperiōn	hyperion	greek	Light, Heavenly Watch	He who goes above (from ὑπέρ)
leto	Lētō	leto	greek	Motherhood, Night	Lady, forgotten one
epimetheus	Epimētheus	epimetheus	greek	Afterthought, Hindsight	Afterthinker (from ἐπί + μῆτις)
herakles	Hēraklēs	herakles	greek	Strength, Labours, Heroism	Glory of Hera (from Ἥρα + κλέος)
eros	Érōs	eros	greek	Love, Desire, Attraction	Love, desire (from ἔραμαι)
helios	Hēlios	helios	greek	Sun, Sight, Oaths	Sun (from PIE *seh₂wel-)
selene	Selēnē	selene	greek	Moon, Night Light	Moon, light (from σέλας)
eos	Ēōs	eos	greek	Dawn, Morning Red	Dawn (from ἠώς)
bellerophon	Bellerophōn	bellerophon	greek	Monster-Slayer, Hero	Slayer of Belleros (possibly)
theseus	Thēseus	theseus	greek	Heroism, Athens, Labours	The Gatherer (from τίθημι)
