unicode,punycode,current_provider,current_nameservers
ꜣḫ.com,xn--9gg9559c.com,GoDaddy,ns1.vercel-dns.com ns09.domaincontrol.com ☓ ns2.vercel-dns.com ns10.domaincontrol.com ☓
ēa.com,xn--a-oia.com,GoDaddy,ns1.vercel-dns.com ns13.domaincontrol.com ☓ ns2.vercel-dns.com ns14.domaincontrol.com ☓
aígyptos.com,xn--agyptos-7ya.com,GoDaddy,ns1.vercel-dns.com ns71.domaincontrol.com ☓ ns2.vercel-dns.com ns72.domaincontrol.com ☓
aithḗr.com,xn--aithr-yd1b.com,GoDaddy,ns1.vercel-dns.com ns13.domaincontrol.com ☓ ns2.vercel-dns.com ns14.domaincontrol.com ☓
ꜥanat.com,xn--anat-pe8o.com,GoDaddy,ns1.vercel-dns.com ns67.domaincontrol.com ☓ ns2.vercel-dns.com ns68.domaincontrol.com ☓
aphrodītē.com,xn--aphrodt-27a8s.com,Cloudflare,ns1.vercel-dns.com jocelyn.ns.cloudflare.com ☓ ns2.vercel-dns.com johnathan.ns.cloudflare.com ☓
aphrodítē.com,xn--aphrodt-dza75a.com,Cloudflare,ns1.vercel-dns.com jocelyn.ns.cloudflare.com ☓ ns2.vercel-dns.com johnathan.ns.cloudflare.com ☓
apóllōn.com,xn--aplln-1ta64d.com,Cloudflare,ns1.vercel-dns.com jocelyn.ns.cloudflare.com ☓ ns2.vercel-dns.com johnathan.ns.cloudflare.com ☓
apollōn.com,xn--apolln-fgb.com,Cloudflare,ns1.vercel-dns.com jocelyn.ns.cloudflare.com ☓ ns2.vercel-dns.com johnathan.ns.cloudflare.com ☓
asía.com,xn--asa-sma.com,GoDaddy,ns1.vercel-dns.com ns57.domaincontrol.com ☓ ns2.vercel-dns.com ns58.domaincontrol.com ☓
ꜥasherah.com,xn--asherah-dv2z.com,GoDaddy,ns1.vercel-dns.com ns71.domaincontrol.com ☓ ns2.vercel-dns.com ns72.domaincontrol.com ☓
aštart.com,xn--atart-vdb.com,GoDaddy,ns1.vercel-dns.com ns63.domaincontrol.com ☓ ns2.vercel-dns.com ns64.domaincontrol.com ☓
athénā.com,xn--athn-dpa9l.com,GoDaddy,ns1.vercel-dns.com ns21.domaincontrol.com ☓ ns2.vercel-dns.com ns22.domaincontrol.com ☓
athēnā.com,xn--athn-tsa0i.com,Unknown,ns1.vercel-dns.com - ☓ ns2.vercel-dns.com - ☓
athēnai.com,xn--athnai-r3a.com,GoDaddy,ns1.vercel-dns.com ns07.domaincontrol.com ☓ ns2.vercel-dns.com ns08.domaincontrol.com ☓
ꜣb.com,xn--b-xw3e.com,GoDaddy,ns1.vercel-dns.com ns41.domaincontrol.com ☓ ns2.vercel-dns.com ns42.domaincontrol.com ☓
bꜣ.com,xn--b-yw3e.com,GoDaddy,ns1.vercel-dns.com ns43.domaincontrol.com ☓ ns2.vercel-dns.com ns44.domaincontrol.com ☓
baꜥal.com,xn--baal-re8o.com,GoDaddy,ns1.vercel-dns.com ns39.domaincontrol.com ☓ ns2.vercel-dns.com ns40.domaincontrol.com ☓
cháos.com,xn--chos-6na.com,GoDaddy,ns1.vercel-dns.com ns01.domaincontrol.com ☓ ns2.vercel-dns.com ns02.domaincontrol.com ☓
delphoí.com,xn--delpho-8va.com,GoDaddy,ns1.vercel-dns.com ns67.domaincontrol.com ☓ ns2.vercel-dns.com ns68.domaincontrol.com ☓
diónysos.com,xn--dinysos-m0a.com,GoDaddy,ns1.vercel-dns.com ns57.domaincontrol.com ☓ ns2.vercel-dns.com ns58.domaincontrol.com ☓
dēmētēr.com,xn--dmtr-bvabb.com,Cloudflare,ns1.vercel-dns.com jocelyn.ns.cloudflare.com ☓ ns2.vercel-dns.com johnathan.ns.cloudflare.com ☓
enlīl.com,xn--enll-sya.com,GoDaddy,ns1.vercel-dns.com ns09.domaincontrol.com ☓ ns2.vercel-dns.com ns10.domaincontrol.com ☓
eurṓpē.com,xn--eurp-eva0406b.com,GoDaddy,ns1.vercel-dns.com ns41.domaincontrol.com ☓ ns2.vercel-dns.com ns42.domaincontrol.com ☓
eurōpē.com,xn--eurp-eva06a.com,GoDaddy,ns1.vercel-dns.com ns75.domaincontrol.com ☓ ns2.vercel-dns.com ns76.domaincontrol.com ☓
gaîa.com,xn--gaa-wma.com,GoDaddy,ns1.vercel-dns.com ns43.domaincontrol.com ☓ ns2.vercel-dns.com ns44.domaincontrol.com ☓
gaṇeśa.com,xn--gaea-n5a6355b.com,GoDaddy,ns1.vercel-dns.com ns73.domaincontrol.com ☓ ns2.vercel-dns.com ns74.domaincontrol.com ☓
