"Name","Index","Assets","Logomarks","Mascots","Empty"
"ab","True","True","1","1",""
"admetus","True","False","0","0",""
"agamemnon","True","False","0","0",""
"agni","True","False","0","0",""
"ahriman","True","False","0","0",""
"ahuramazda","True","False","0","0",""
"aigyptos","True","True","1","1",""
"aitolia","True","False","0","0",""
"ajax","True","False","0","0",""
"akh","True","True","1","1",""
"alcmene","True","False","0","0",""
"alexandros","True","False","0","0",""
"alfheimr","True","True","1","0",""
"amaterasu","True","False","0","0",""
"amun","True","False","0","0",""
"andromeda","True","False","0","0",""
"angramainyu","True","False","0","0",""
"antilochus","True","False","0","0",""
"anubis","True","False","0","0",""
"anuket","True","False","0","0",""
"apep","True","False","0","0",""
"aphrodite","True","True","1","1",""
"apollon","True","True","1","1",""
"arachne","True","False","0","0",""
"ares","True","True","1","1",""
"ariadne","True","False","0","0",""
"arjuna","True","False","0","0",""
"artemis","True","True","1","1",""
"asgardr","True","False","0","0",""
"ashur","True","False","0","0",""
"asia","True","True","1","1",""
"atalanta","True","False","0","0",""
"athena","True","True","1","1",""
"athenai","True","True","1","0",""
"atlas","True","True","1","1",""
"audumla","True","False","0","0",""
"autolycus","True","False","0","0",""
"baldr","True","False","0","0",""
"bastet","True","False","0","0",""
"bellerophon","True","False","0","0",""
"belobog","True","False","0","0",""
"benzaiten","True","False","0","0",""
"bhima","True","False","0","0",""
"boiotia","True","False","0","0",""
"brahma","True","False","0","0",""
"brigid","True","False","0","0",""
"calypso","True","False","0","0",""
"cassiopeia","True","False","0","0",""
"castor","True","False","0","0",""
"cepheus","True","False","0","0",""
"cernunnos","True","False","0","0",""
"chandra","True","False","0","0",""
"chaos","True","True","1","0",""
"charybdis","True","False","0","0",""
"chernobog","True","False","0","0",""
"chicomecoatl","True","False","0","0",""
"circe","True","False","0","0",""
"coatlicue","True","False","0","0",""
"coyolxauhqui","True","False","0","0",""
"daedalus","True","False","0","0",""
"dagda","True","False","0","0",""
"danae","True","False","0","0",""
"dazhbog","True","False","0","0",""
"delos","True","False","0","0",""
"delphoi","True","True","1","0",""
"demeter","True","True","1","1",""
"diomedes","True","False","0","0",""
"dionysos","True","True","1","1",""
"draupadi","True","False","0","0",""
"durga","True","False","0","0",""
"eggther","True","False","0","0",""
"eir","True","False","0","0",""
"elektra","True","False","0","0",""
"enki","True","False","0","0",""
"enlil","True","False","0","0",""
"eos","True","False","0","0",""
"epeiros","True","False","0","0",""
"epimetheus","True","False","0","0",""
"eros","True","False","0","0",""
"eshu","True","False","0","0",""
"europa","True","False","0","0",""
"europe","True","True","1","1",""
"eurydice","True","False","0","0",""
"fenrir","True","False","0","0",""
"freyja","True","False","0","0",""
"freyr","True","False","0","0",""
"frigg","True","False","0","0",""
"gaia","True","True","1","0",""
"ganesha","True","False","0","0",""
"ganga","True","False","0","0",""
"ganymede","True","False","0","0",""
"garmr","True","False","0","0",""
"geb","True","False","0","0",""
"hachiman","True","False","0","0",""
"hades","True","True","1","1",""
"hanuman","True","False","0","0",""
"hathor","True","False","0","0",""
"hebe","True","False","0","0",""
"hector","True","False","0","0",""
"heimdallr","True","False","0","0",""
"hekate","True","True","1","1",""
"hel","True","False","0","0",""
"helheimr","True","True","1","0",""
"helios","True","True","1","1",""
"hephaistos","True","True","1","1",""
"hera","True","True","1","1",""
"herakles","True","False","0","0",""
"hermes","True","True","1","1",""
"hestia","True","True","1","1",""
"hokkaido","True","False","0","0",""
"horus","True","False","0","0",""
"hraesvelgr","True","False","0","0",""
"hrungnir","True","False","0","0",""
"huitzilopochtli","True","False","0","0",""
"hyperion","True","False","0","0",""
"icarus","True","False","0","0",""
"inari","True","False","0","0",""
"indra","True","False","0","0",""
"inti","True","False","0","0",""
"ishtar","True","False","0","0",""
"isis","True","False","0","0",""
"ithake","True","False","0","0",""
"ixion","True","False","0","0",""
"izanagi","True","False","0","0",""
"jason","True","False","0","0",""
"jormungandr","True","False","0","0",""
"jotunheimr","True","True","1","0",""
"kali","True","False","0","0",""
"karna","True","False","0","0",""
"ker","True","True","1","1",""
"khnum","True","False","0","0",""
"khonsu","True","False","0","0",""
"kobe","True","True","1","0",""
"korinthos","True","False","0","0",""
"krete","True","False","0","0",""
"krishna","True","False","0","0",""
"kronos","True","False","0","0",""
"kubera","True","False","0","0",""
